image_path,boat_model,photo_type,boat_type
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/781983ae2a21.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/2dac320b09ff.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/50875802639a.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/33e68d0defee.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/70bb63d93072.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/276fccc72daf.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/69c8c32c5ff7.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/1195e8564451.png,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/84ff32098447.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/ba5b32118031.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/92fbb32f1878.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/f005d29fb9fa.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/c45d4b3a8958.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/cf8b25634fe1.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/338175bb5ec7.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/3419a2dedfd1.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/8f69b6ef5a6f.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/09f1a2586a10.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/a5c061979de2.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/220491359d52.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/f784ad96b58c.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/20ea6d200534.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/83a89b2a26b6.jpg,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/ff4967ba7136.png,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/55dc893f88cd.jpg,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/851b70469b13.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/deaacfe6649a.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/6da8eda438e4.jpeg,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/9a47be05d369.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/8761b64330c2.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/647c88bcf622.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/2bc1b515005a.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/9ccca40880c6.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/633821d4d97d.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/5c97356651b3.png,HH 52,out,seal
