boat_name,boat_type,boat_description,price,boat_url,loa_m,loa_ft,beam_m,beam_ft,draft_m,draft_ft,deadweight_t,displacement_t,fuel_capacity_l,water_tank_l,max_people,cabins,berths_for_guests,bathrooms,mainsail_m2,mainsail_optional_m2,jib_self_m2,genoa_m2,gennaker_m2,code_zero_m2,keel,ce_class,hull_type,hull_material,design,type_by_usage,deck_arrangement,builder,country,series,model,period_of_manufacture,crew,genoa_optional_m2,code_zero_optional_m2,spinnaker_optional_m2,mainsail_in_m2,spinnaker_m2,jib_m2,jib_optional_m2,max_speed_kt,cruising_speed_kt,gennaker_optional_m2,mainsail_lazy_bag_m2,mainsail_lazy_bag_optional_m2,jib_self_optional_m2,genoa_self_optional_m2,code_zero_optional_optional_m2,spinnaker_optional_optional_m2
Bavaria C57,Sailing yacht,The Bavaria C57 is produced by the brand Bavaria Yachts since 2017. Bavaria C57 is a 16.73 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 2.52 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria C57 is €510.5 thousand.,"from €510,500",https://itboat.com/models/8103-bavaria-c57,16.73,54.916666666666664,5.28,17.333333333333332,2.52,8.333333333333334,17.1,17.13 (half load),500.0,650.0,15.0,3.0,6.0,3.0,80.0,66.0,57.0,69.0,232.0,123.0,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,C-Line,C57,from 2017,,,,,,,,,,,,,,,,,
Bavaria C50,Sailing yacht,The Bavaria C50 is produced by the brand Bavaria Yachts since 2017. Bavaria C50 is a 15.99 meters cruising yacht with a Mediterranean cockpit with 5 guest cabins and a draft of 2.30 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria C50 is €379.0 thousand.,"from €379,000",https://itboat.com/models/8102-bavaria-c50,15.99,52.5,5.05,16.583333333333332,2.3,7.583333333333333,15.4,,250.0,650.0,18.0,5.0,10.0,3.0,75.0,62.0,56.0,64.0,194.0,105.0,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,C-Line,C50,from 2017,1.0,,,,,,,,,,,,,,,,
Bavaria C45,Sailing yacht,The Bavaria C45 is produced by the brand Bavaria Yachts since 2017. Bavaria C45 is a 14.44 meters cruising yacht with a Mediterranean cockpit with 4 guest cabins and a draft of 1.75 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria C45 is €279.9 thousand.,"from €279,900",https://itboat.com/models/8101-bavaria-c45,14.44,47.416666666666664,4.49,14.75,1.75,5.75,11.9,12 (half load),250.0,650.0,16.0,4.0,8.0,3.0,64.0,51.0,45.0,52.0,170.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,C-Line,C45,from 2017,,,,,,,,,,,,,,,,,
Bavaria Cruiser 34,Sailing yacht,The Bavaria Cruiser 34 is produced by the brand Bavaria Yachts since 2016. Bavaria Cruiser 34 is a 9.99 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 2.02 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria Cruiser 34 is €119.9 thousand.,"from €119,900",https://itboat.com/models/6902-bavaria-cruiser-34,9.99,32.833333333333336,3.42,11.25,2.02,6.666666666666667,5.3,,150.0,150.0,10.0,2.0,4.0,1.0,27.0,,,22.0,75.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,Cruiser Line,Cruiser 34,from 2016,,,,,,,,,,,,,,,,,
Bavaria Cruiser 46 Style,Sailing yacht,The Bavaria Cruiser 46 Style is produced by the brand Bavaria Yachts since 2015. Bavaria Cruiser 46 Style is a 14.27 meters cruising yacht with a Mediterranean cockpit with 4 guest cabins and a draft of 2.10 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria Cruiser 46 Style is €275.0 thousand.,"from €275,000",https://itboat.com/models/6903-bavaria-cruiser-46-style,14.27,46.833333333333336,4.35,14.333333333333334,2.1,6.916666666666667,12.6,,210.0,360.0,16.0,4.0,8.0,3.0,56.0,,,52.0,148.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,Cruiser Line,Cruiser 46 Style,from 2015,,,,,,,,,,,,,,,,,
Bavaria 42 Vision,Sailing yacht,The Bavaria 42 Vision is produced by the brand Bavaria Yachts since 2013. Bavaria 42 Vision is a 12.80 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 2.07 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria 42 Vision is €222.2 thousand.,"from €222,200",https://itboat.com/models/2344-bavaria-42-vision,12.8,42.0,4.05,13.333333333333334,2.07,6.833333333333333,9.8,,210.0,210.0,16.0,2.0,4.0,2.0,51.0,,,35.0,111.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,Vision Line,42 Vision,from 2013,,,,,,,,,,,,,,,,,
Bavaria Cruiser 46,Sailing yacht,The Bavaria Cruiser 46 is produced by the brand Bavaria Yachts since 2013. Bavaria Cruiser 46 is a 14.27 meters cruising yacht with a Mediterranean cockpit with 4 guest cabins and a draft of 2.10 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria Cruiser 46 is €265.2 thousand.,"from €265,200",https://itboat.com/models/954-bavaria-cruiser-46,14.27,46.833333333333336,4.35,14.333333333333334,2.1,6.916666666666667,12.6,,210.0,360.0,16.0,4.0,8.0,3.0,56.0,,,52.0,148.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Bavaria Yachts,Germany,Cruiser Line,Cruiser 46,from 2013,,,,,,,,,,,,,,,,,
Bavaria Cruiser 37,Sailing yacht,The Bavaria Cruiser 37 is produced by the brand Bavaria Yachts since 2013. Bavaria Cruiser 37 is a 11.81 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 1.95 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Bavaria Cruiser 37 is €155.9 thousand.,"from €155,900",https://itboat.com/models/943-bavaria-cruiser-37,11.81,38.75,3.67,12.083333333333334,1.95,6.416666666666667,7.0,6.9 (half load),150.0,210.0,,2.0,4.0,1.0,41.0,34.0,,27.0,82.0,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Bavaria Yachts,Germany,Cruiser Line,Cruiser 37,from 2013,,,,,,,,,,,,,,,,,
Beneteau Oceanis 51.1,Sailing yacht,The Beneteau Oceanis 51.1 is produced by the brand Beneteau Yachts since 2017. Beneteau Oceanis 51.1 is a 15.94 meters cruising yacht with a Mediterranean cockpit with 5 guest cabins and a draft of 2.30 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Beneteau Oceanis 51.1 is €396.8 thousand.,"from €396,800",https://itboat.com/models/7737-beneteau-oceanis-51-1,15.94,52.333333333333336,4.8,15.75,2.3,7.583333333333333,,13.9 (half load),200.0,440.0,14.0,5.0,10.0,3.0,45.0,57.0,46.0,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Beneteau Yachts,France,Oceanis,Oceanis 51.1,from 2017,1.0,65.0,138.0,180.0,,,,,,,,,,,,,
Contest 67CS,Sailing yacht,"The Contest 67CS is produced by the brand Contest Yachts since 2014. Contest 67CS is a 21.26 meters luxury cruising yacht with 3 guest cabins and a draft of 2.95 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Contest 67CS is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/6476-contest-yachts-67cs,21.26,69.83333333333333,5.65,18.583333333333332,2.95,9.75,,39.5 (half load),1590.0,988.0,,3.0,6.0,3.0,,,,108.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Contest Yachts,Netherlands,Sailing,67CS,from 2014,2.0,,,,145.0,,,,,,,,,,,,
